nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean
ACESSO,700133,22420,354,118,118,0,0,13924,0,991082,3.278688524590164,0,0,0,4.374513124246447,0.06907125985652286,0,0.02302375328550762
AVENIDA AEROCLUBE,13587,234,0,0,0,0,0,169,0,20722,1.2345679012345678,0,0,0,1.4572157857050898,0,0,0
AVENIDA ALMIRANTE BARROSO,16624,3480,0,640,0,0,200,1600,0,193000,2.5,0,0,0,3.3551610818380966,0,0.1928253495309251,0.6170411184989604
AVENIDA ANA DE AZEVEDO,167,3,0,0,0,0,0,1,0,170,1.7647058823529411,0,0,0,1.7647058823529411,0,0,0
AVENIDA ANTILHAS HOLANDESAS,1910,50,0,0,0,0,0,25,0,4970,1.06951871657754,0,0,0,1.3297634549199004,0,0,0
AVENIDA ANTÔNIO VILLARIM,11797,253,0,55,0,0,0,121,0,8954,2.8169014084507045,0,0,0,2.9294472061255257,0,0,0.636836349157723
AVENIDA ÁUSTRIA,1872,8,0,0,0,0,0,4,0,244,3.292847503373819,0,0,0,3.292847503373819,0,0,0
AVENIDA ÁUSTRIA,20257,10,0,2,0,0,0,4,0,376,3.954248366013072,0,0,0.29411764705882354,7.679738562091503,0,0,1.5359477124183005
AVENIDA BARÃO DO RIO BRANCO,655,210,0,20,0,0,0,100,10,17540,1.2269938650306749,0,0,0,1.340579809899798,0,0,0.12767426760950457
AVENIDA BELO HORIZONTE,29084,1050,0,0,0,0,0,441,0,37485,3.260869565217391,0,0,0,3.9215090612776846,0,0,0
AVENIDA BRASIL,1740,18,0,0,0,0,0,9,0,1167,1.4285714285714286,0,0,0,1.8782175032175032,0,0,0
AVENIDA BRIGADEIRO EDUARDO GOMES,20834,350,0,28,0,0,0,196,0,35770,2,0,0,0,2.563618975157808,0,0,0.2050895180126246
AVENIDA CAJAZEIRAS,36366,90,0,0,0,6,6,36,0,5148,1.8843641951594314,0,0,0,3.269646619867519,0,0.21797644132450125,0
AVENIDA CESARINA BARBOSA DE OLIVEIRA,1643,8,0,0,0,0,0,4,0,514,1.8542568542568543,0,0,0,1.8542568542568543,0,0,0
AVENIDA COMPOSITOR NOEL ROSA,23434,54,0,0,0,0,0,36,0,1854,2.9171766625866993,0,0,0,2.934353375680977,0,0,0
AVENIDA CONFEDERAÇÃO SUÍÇA,2020,4,0,0,0,0,0,1,0,213,1.8779342723004695,0,0,0,1.8779342723004695,0,0,0
AVENIDA CÔNSUL JOSEPH NOUJAIM HABIB NACAD,12610,4794,0,611,0,0,235,2209,47,200173,2.7777777777777777,0,0,0,5.215276625960371,0,0.25565081499805736,0.6646921189949492
AVENIDA DAS BARAÚNAS,20770,90,0,27,0,0,0,81,0,10836,0.7751937984496124,0,0,0,1.7089361517641393,0,0,0.5126808455292418
