nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean
ACESSO,700133,190,3,1,1,0,0,118,0,8399,3.478523895946763,0,0,0,4.53141472337595,0.04796929964822514,0,0.02230151650312221
AVENIDA AEROCLUBE,13587,18,0,0,0,0,0,13,0,1594,1.2345679012345678,0,0,0,1.4472040824348633,0,0,0
AVENIDA ALMIRANTE BARROSO,16624,87,0,16,0,0,5,40,0,4825,2.489669421487603,0,0,0,2.9771732588265816,0,0.26370304779395687,0.46039381791962036
AVENIDA ANA DE AZEVEDO,167,3,0,0,0,0,0,1,0,170,1.7647058823529411,0,0,0,1.7647058823529411,0,0,0
AVENIDA ANTILHAS HOLANDESAS,1910,10,0,0,0,0,0,5,0,994,1.06951871657754,0,0,0,1.3297634549199004,0,0,0
AVENIDA ANTÔNIO VILLARIM,11797,23,0,5,0,0,0,11,0,814,2.857142857142857,0,0,0,2.941122009515388,0,0,0.5875396928028507
AVENIDA ÁUSTRIA,1872,4,0,0,0,0,0,2,0,122,3.292847503373819,0,0,0,3.292847503373819,0,0,0
AVENIDA ÁUSTRIA,20257,5,0,1,0,0,0,2,0,188,3.954248366013072,0,0,2.7777777777777777,3.954248366013072,0,0,2.7777777777777777
AVENIDA BARÃO DO RIO BRANCO,655,21,0,2,0,0,0,10,1,1754,1.2195121951219512,0,0,0,1.2765858281121107,0,0,0.1449579831932773
AVENIDA BELO HORIZONTE,29084,50,0,0,0,0,0,21,0,1785,3.571428571428571,0,0,0,3.7011614222396263,0,0,0
AVENIDA BRASIL,1740,6,0,0,0,0,0,3,0,389,1.4285714285714286,0,0,0,1.8782175032175032,0,0,0
AVENIDA BRIGADEIRO EDUARDO GOMES,20834,25,0,2,0,0,0,14,0,2555,1.6807909604519775,0,0,0,2.5080039842994646,0,0,0.019754603331853752
AVENIDA CAJAZEIRAS,36366,15,0,0,0,1,1,6,0,858,1.8843641951594314,0,0,0,3.047313317578396,0,0.22222222222222224,0
AVENIDA CESARINA BARBOSA DE OLIVEIRA,1643,4,0,0,0,0,0,2,0,257,1.8542568542568543,0,0,0,1.8542568542568543,0,0,0
AVENIDA COMPOSITOR NOEL ROSA,23434,9,0,0,0,0,0,6,0,309,2.715924426450742,0,0,0,2.963027529451753,0,0,0
AVENIDA CONFEDERAÇÃO SUÍÇA,2020,4,0,0,0,0,0,1,0,213,1.8779342723004695,0,0,0,1.8779342723004695,0,0,0
AVENIDA CÔNSUL JOSEPH NOUJAIM HABIB NACAD,12610,102,0,13,0,0,5,47,1,4259,2.7777777777777777,0,0,0,4.715032428739689,0,0.09515967932760293,0.6116225324406789
AVENIDA DAS BARAÚNAS,20770,10,0,3,0,0,0,9,0,1204,0.8695652173913043,0,0,0,1.242717435078598,0,0,0.23477793385706608
AVENIDA DAS NAÇÕES,1597,59,0,9,0,0,0,27,0,3130,3.389830508474576,0,0,0,3.9458731727497653,0,0,0.5668524173975922
AVENIDA DEPUTADO RAIMUNDO ASFORA,33634,162,0,0,0,0,0,118,0,19538,1.3560724464466305,0,0,0,1.9584226015189168,0,0,0
AVENIDA DINAMÉRICA CORREIA,16640,86,0,12,1,0,1,46,1,3798,3.1746031746031744,0,0,0,4.206367148753759,0,0.24154589371980675,0.6934222904006874
AVENIDA DOUTOR ELPÍDIO DE ALMEIDA,11800,111,0,10,0,2,8,53,2,4739,2.7027027027027026,0,0,0,3.693269189004165,0,0.590381984211245,0.2597523197799769
AVENIDA DOUTOR OTÁVIO MARIZ MAIA,14001,6,0,0,0,0,0,3,0,231,2.3529411764705883,0,0,0,2.9132315256084693,0,0,0
AVENIDA ENGENHEIRO JOSÉ CELINO FILHO,5193,38,0,1,0,0,0,17,0,1435,2.7777777777777777,0,0,0,3.8881485059406864,0,0,0.08169934640522876
AVENIDA ENGENHEIRO LOURIVAL DE ANDRADE,23760,154,0,6,0,0,0,74,16,8115,2.325895875591616,0,0,0,2.4945621533927462,0,0,0.08036673175770784
AVENIDA ENGENHEIRO SATURNINO DE BRITO FILHO,14567,86,0,1,0,0,0,30,0,2398,4.354636591478696,0,0,0,5.28693776274327,0,0,0.06410256410256411
AVENIDA ESTADOS UNIDOS,1767,4,0,0,0,0,0,2,0,490,0.9795102448775612,0,0,0,0.9795102448775612,0,0,0
AVENIDA FLÓRIDA,1791,12,0,0,0,0,0,6,0,438,2.60840108401084,0,0,0,6.1953286721999925,0,0,0
AVENIDA FORTALEZA,29190,6,0,0,0,0,0,3,0,231,2.631578947368421,0,0,0,2.6363576629691354,0,0,0
AVENIDA FRANCISCO AMARO DE LIMA,13960,3,0,0,0,0,0,3,0,464,0.8620689655172413,0,0,0,0.7395627774760678,0,0,0
AVENIDA FRANCISCO LOPES DE ALMEIDA,28789,89,0,17,0,2,3,55,0,5969,1.8867924528301887,0,0,0,2.44089935087826,0,0.051023552844834716,0.39674263362163376
AVENIDA GILÓ GUEDES,17744,39,0,4,0,1,4,15,2,1904,2.3255813953488373,0,0,0,2.847261294007205,0,0.1699440018421373,0.189450966732914
AVENIDA GRÃO DUCADO DE LUXEMBURGO,1937,22,0,0,0,0,0,11,0,1772,0.9569377990430622,0,0,0,3.405643644833672,0,0,0
AVENIDA HENRIQUE ALEXANDRINO DE MELO,13412,4,0,0,0,0,0,4,0,396,1.2112472963229992,0,0,0,1.1093797241668022,0,0,0
AVENIDA INDUSTRIAL ADEMAR VELOSO DA SILVEIRA,9105,42,0,7,0,0,0,21,0,2215,2.666666666666667,0,0,0,3.2452049657494593,0,0,0.29740843705903414
AVENIDA ITÁLIA,1775,2,0,0,0,0,0,1,0,74,2.7027027027027026,0,0,0,2.7027027027027026,0,0,0
AVENIDA IUGOSLÁVIA,1805,8,0,0,0,0,0,4,0,262,3.0017921146953404,0,0,0,3.1820097951989967,0,0,0
AVENIDA JANÚNCIO FERREIRA,27,23,3,6,0,0,1,9,0,1161,1.8018018018018018,0,0,0.5434782608695652,2.5731213286425465,0.10928961748633881,0.1001001001001001,0.41198966475027365
AVENIDA JOÃO WALLIG,13340,95,0,4,0,1,1,54,0,4666,2.330623306233062,0,0,0,3.0994759328340518,0,0.09746588693957114,0.22623732301151656
