objectid,numero,ponteid,observacao,sequencial,compriment,nomeusual,distritoid,setorid,tipolograd,redeaguasp,tipopavime,estadocons,meiofio,separacaov,sentidovia,calcadaimp,calcadapar,sinalizaca,dispositiv,sinaliza_1,sinaliza_2,ponte,redeagua,redetelefo,redeesgoto,redeilumin,redeenergi,areasverde,arvore,lixeirapub,telefonepu,bancos,hidrantes,caixacorre,bancajorna,pontoonibu,pontotaxi,pontomotot,placapubli,placatrans,semaforo,faixapedes,poste,formulario,pesquisado,eglid,logradouro,coletalixo,trechoviai,trechovi_1,nomelograd
1,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13499,21601,,13499,13499,RUA PROJETADA V
2,0,0,,1142,0,,2,2,1,3,2,2,2,5,2,2,4,4,4,4,4,6,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,201207,9,1197,12394,,1197,1197,RUA JOSÉ DE BRITO LIRA
3,0,0,,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15373,15373,
4,0,0,,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10885,20680,,10885,10885,RUA COMPOSITOR ROSIL CAVALCANTE
5,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11196,700418,,11196,11196,RUA PLÍNIO LEMOS
6,0,0,,2330,0,,3,3,1,3,2,2,2,5,2,3,3,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,202654,1,2615,6327,,2615,2615,RUA JOÃO EVARISTO DA SILVA
7,0,0,,2353,0,,3,3,1,1,2,2,2,5,2,3,3,4,4,4,4,6,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,202677,1,2639,6050,,2639,2639,RUA JOSÉ PALMEIRA FILHO
8,0,0,,2616,0,,3,3,1,3,6,4,4,5,2,4,4,4,4,4,4,6,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,202950,6,2914,6874,,2914,2914,RUA CÍCERO PAULINO ALVES
9,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10939,22322,,10939,10939,RUA PROJ L N BODOCONGO
10,0,0,,5173,0,,8,8,1,3,1,1,2,1,1,2,1,2,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206334,3,5851,9377,,5851,5851,RUA OSWALDO CRUZ
11,0,0,,5196,0,,8,8,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206480,9,5874,28045,,5874,5874,RUA AUTA LEITE
12,0,0,,8636,0,,10,10,1,2,2,2,2,5,2,1,1,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,212699,3,9496,26751,,9496,9496,RUA ABDON NAPY
13,0,0,,6018,0,,9,9,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,210604,2,6753,39330,,6753,6753,RUA PROJETADA VII
14,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11028,21377,,11028,11028,RUA PROJ III C MANSÕES
15,0,0,,6507,0,,9,9,1,2,1,2,2,2,2,2,2,4,4,4,4,6,1,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,210687,2,7260,19020,,7260,7260,RUA DAS JABOTICABEIRAS
16,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11033,21792,,11033,11033,"RUA SEM DENOMINAÇÃO 
209
1"
17,0,0,,7653,0,,10,10,1,1,2,1,2,5,2,1,1,4,4,2,4,6,3,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,212083,7,8445,24961,,8445,8445,RUA BIU GALILEU
18,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11044,21512,,11044,11044,RUA PROJ XXXV C MANSÕES
19,0,0,,694,0,,2,2,1,2,2,3,2,5,1,4,3,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,200753,3,731,15954,,731,731,RUA DO JUÁ
20,0,0,,7334,0,,9,9,1,3,1,3,2,5,2,2,2,4,4,1,4,6,3,1,3,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,210214,13,8117,18384,,8117,8117,RUA GUARABIRA
